#separator:Comma
#html:true
"reservation (n.)","<div style=""font-size:1.3em;font-weight:700;line-height:1.4;margin:2px 0 14px;"">訂位、預訂</div><div style=""display:inline-block;text-align:left;line-height:1.55;max-width:95%;""><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(59,130,246,.16);color:#3b82f6;"">例</span>I made a <b style=""color:#3b82f6;"">reservation</b> for 7 p.m.</div><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(16,185,129,.16);color:#10b981;"">影片</span>I'd like to make a <b style=""color:#10b981;"">reservation</b> for two.</div><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(156,163,175,.20);color:#9ca3af;"">補充</span>搭配:make / cancel a reservation</div></div>"
"accommodate (v.)","<div style=""font-size:1.3em;font-weight:700;line-height:1.4;margin:2px 0 14px;"">容納;滿足(需求)</div><div style=""display:inline-block;text-align:left;line-height:1.55;max-width:95%;""><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(59,130,246,.16);color:#3b82f6;"">例</span>The room <b style=""color:#3b82f6;"">accommodates</b> ten guests.</div><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(16,185,129,.16);color:#10b981;"">影片</span>Can you <b style=""color:#10b981;"">accommodate</b> a large group? / Can you <b style=""color:#10b981;"">accommodate</b> food allergies?</div><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(245,158,11,.16);color:#f59e0b;"">注意</span>影片中兩種意思都出現</div></div>"
"waiting list (n.)","<div style=""font-size:1.3em;font-weight:700;line-height:1.4;margin:2px 0 14px;"">候位名單</div><div style=""display:inline-block;text-align:left;line-height:1.55;max-width:95%;""><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(59,130,246,.16);color:#3b82f6;"">例</span>They put us on the <b style=""color:#3b82f6;"">waiting list</b>.</div><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(16,185,129,.16);color:#10b981;"">影片</span>Is there a <b style=""color:#10b981;"">waiting list</b>?</div></div>"
"dress code (n.)","<div style=""font-size:1.3em;font-weight:700;line-height:1.4;margin:2px 0 14px;"">服裝規定</div><div style=""display:inline-block;text-align:left;line-height:1.55;max-width:95%;""><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(59,130,246,.16);color:#3b82f6;"">例</span>The club has a strict <b style=""color:#3b82f6;"">dress code</b>.</div><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(16,185,129,.16);color:#10b981;"">影片</span>Is there a <b style=""color:#10b981;"">dress code</b> for the restaurant?</div></div>"
"high chair (n.)","<div style=""font-size:1.3em;font-weight:700;line-height:1.4;margin:2px 0 14px;"">兒童餐椅</div><div style=""display:inline-block;text-align:left;line-height:1.55;max-width:95%;""><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(59,130,246,.16);color:#3b82f6;"">例</span>We need a <b style=""color:#3b82f6;"">high chair</b> for the baby.</div><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(16,185,129,.16);color:#10b981;"">影片</span>Do you have <b style=""color:#10b981;"">high chairs</b> for children?</div></div>"
"wobbly (adj.)","<div style=""font-size:1.3em;font-weight:700;line-height:1.4;margin:2px 0 14px;"">搖晃不穩的</div><div style=""display:inline-block;text-align:left;line-height:1.55;max-width:95%;""><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(59,130,246,.16);color:#3b82f6;"">例</span>Careful—that chair is <b style=""color:#3b82f6;"">wobbly</b>.</div><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(16,185,129,.16);color:#10b981;"">影片</span>This table is a bit <b style=""color:#10b981;"">wobbly</b>. Can we get another one?</div></div>"
"chilly (adj.)","<div style=""font-size:1.3em;font-weight:700;line-height:1.4;margin:2px 0 14px;"">冷颼颼的</div><div style=""display:inline-block;text-align:left;line-height:1.55;max-width:95%;""><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(59,130,246,.16);color:#3b82f6;"">例</span>It gets <b style=""color:#3b82f6;"">chilly</b> at night.</div><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(16,185,129,.16);color:#10b981;"">影片</span>It's a bit <b style=""color:#10b981;"">chilly</b> here. Could we move to another table?</div></div>"
"section (n.)","<div style=""font-size:1.3em;font-weight:700;line-height:1.4;margin:2px 0 14px;"">區域</div><div style=""display:inline-block;text-align:left;line-height:1.55;max-width:95%;""><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(59,130,246,.16);color:#3b82f6;"">例</span>We sat in the no-smoking <b style=""color:#3b82f6;"">section</b>.</div><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(16,185,129,.16);color:#10b981;"">影片</span>Is there a quieter <b style=""color:#10b981;"">section</b> we could move to?</div></div>"
"foot traffic (n.)","<div style=""font-size:1.3em;font-weight:700;line-height:1.4;margin:2px 0 14px;"">人流、過往行人</div><div style=""display:inline-block;text-align:left;line-height:1.55;max-width:95%;""><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(59,130,246,.16);color:#3b82f6;"">例</span>The shop gets a lot of <b style=""color:#3b82f6;"">foot traffic</b>.</div><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(16,185,129,.16);color:#10b981;"">影片</span>We prefer to sit somewhere with less <b style=""color:#10b981;"">foot traffic</b>.</div></div>"
"recommend (v.)","<div style=""font-size:1.3em;font-weight:700;line-height:1.4;margin:2px 0 14px;"">推薦</div><div style=""display:inline-block;text-align:left;line-height:1.55;max-width:95%;""><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(59,130,246,.16);color:#3b82f6;"">例</span>Can you <b style=""color:#3b82f6;"">recommend</b> a hotel?</div><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(16,185,129,.16);color:#10b981;"">影片</span>What do you <b style=""color:#10b981;"">recommend</b>?</div><div style=""margin:7px 0;""><span style=""display:inline-block;font-size:.72em;font-weight:700;padding:1px 7px;border-radius:9px;margin-right:7px;background:rgba(156,163,175,.20);color:#9ca3af;"">補充</span>名詞:recommendation</div></div>"
